file,pitch_histogram_similarity,rhythm_diversity_score,unique_durations,total_notes
vae_sample_1.mid,0.9982892094349808,0.75,9,12
vae_sample_2.mid,1.4955191785421629,0.8666666666666667,13,15
vae_sample_3.mid,1.4752991128826007,0.325,13,40
vae_sample_4.mid,1.2169645472001318,0.8666666666666667,13,15
vae_sample_5.mid,0.939370059964318,0.7647058823529411,13,17
vae_sample_6.mid,1.2578249530692451,0.8636363636363636,19,22
vae_sample_7.mid,0.8881270432768357,0.7894736842105263,15,19
vae_sample_8.mid,0.864683413246024,0.8421052631578947,16,19
